timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
2026-04-24T18:00:19.136128+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:19.136515+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:19.136584+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:19.136762+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:20.826222+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:20.826307+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:20.826869+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:20.826975+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:20.827276+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,4,,,,,,,,24,,0,2923,,,,
2026-04-24T18:00:20.827732+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:20.827834+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,,6055.110885,,,,,
2026-04-24T18:00:20.828442+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.990826,,,,,,,,,,,,,,,
2026-04-24T18:00:20.828929+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.556611,,,,,,,,
2026-04-24T18:00:20.829027+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.918281,,,,,,,,
2026-04-24T18:00:20.829086+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.774916,,,,,,,,
2026-04-24T18:00:20.829257+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:20.829315+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:20.829373+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:20.829429+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:20.829484+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:20.829670+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,127,251,,,,,,,,,,,
2026-04-24T18:00:20.829736+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12807.646368,,,2,0,64,0
2026-04-24T18:00:20.829797+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13519.897739,,,2,0,63,0
2026-04-24T18:00:20.829855+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7111.897081,,,10,0,0,125
2026-04-24T18:00:20.829913+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6054.573812,,,12,0,0,126
2026-04-24T18:00:20.904945+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.9076,,,,,,,,,,,,,,,
